ID,Frugivore_Species,Plant_Species,Type of Interaction,Plant_family,Plant_genus,Plant_specific.epiteth,Plant_distribution,Plant_origin,Plant_Form,fruit_diameter,fruit_length,seed_diameter,seed_length,Fruit_color,Lipid_Score,Plants_IUCN,Frug_Class,Frug_Order,Frug_Family,Frug_Genus,Frug_Epitetus,Frug_Group,Frug_Body_Mass,Frug_Mean_Gape_Size,Frugivory_score,Frug_Migration_status,Frug_IUCN,Frug_Population_Trend,Study_Location,Latitude,Longitude,Precision,Study reference,Doi/Link,Study_Method
1197,Coereba flaveola,Acnistus arborescens,Mutualistic,Solanaceae,Acnistus,arborescens,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,scrub,7,7.2,NA,NA,yellow,1,NE,Aves,Passeriformes,Coerebidae,Coereba,flaveola,Small birds,10.3375,6.78,1,NA,LC,Stable,NA,NA,NA,NA,Verçoza etal 2012,NA,Animal-oriented
1198,Pitangus sulphuratus,Acnistus arborescens,Mutualistic,Solanaceae,Acnistus,arborescens,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,scrub,7,7.2,NA,NA,yellow,1,NE,Aves,Passeriformes,Tyrannidae,Pitangus,sulphuratus,Small birds,63.33333333,13.892,2,RES,LC,Increasing,NA,NA,NA,NA,Verçoza etal 2012,NA,Animal-oriented
1199,Tachyphonus coronatus,Acnistus arborescens,Mutualistic,Solanaceae,Acnistus,arborescens,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,scrub,7,7.2,NA,NA,yellow,1,NE,Aves,Passeriformes,Thraupidae,Tachyphonus,coronatus,Small birds,29.3,8.417368421,2,RES,LC,Stable,NA,NA,NA,NA,Verçoza etal 2012,NA,Animal-oriented
1200,Tangara cayana,Acnistus arborescens,Mutualistic,Solanaceae,Acnistus,arborescens,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,scrub,7,7.2,NA,NA,yellow,1,NE,Aves,Passeriformes,Thraupidae,Tangara,cayana,Small birds,18,7.41884058,2,RES,LC,Stable,NA,NA,NA,NA,Verçoza etal 2012,NA,Animal-oriented
1201,Thraupis episcopus,Acnistus arborescens,Mutualistic,Solanaceae,Acnistus,arborescens,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,scrub,7,7.2,NA,NA,yellow,1,NE,Aves,Passeriformes,Thraupidae,Thraupis,episcopus,Small birds,35,10.1,2,NA,LC,Stable,NA,NA,NA,NA,Verçoza etal 2012,NA,Animal-oriented
1202,Tangara seledon,Acnistus arborescens,Mutualistic,Solanaceae,Acnistus,arborescens,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,scrub,7,7.2,NA,NA,yellow,1,NE,Aves,Passeriformes,Thraupidae,Tangara,seledon,Small birds,18.7,6.118571429,2,RES,LC,Stable,NA,NA,NA,NA,Verçoza etal 2012,NA,Animal-oriented
1203,Thraupis palmarum,Acnistus arborescens,Mutualistic,Solanaceae,Acnistus,arborescens,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,scrub,7,7.2,NA,NA,yellow,1,NE,Aves,Passeriformes,Thraupidae,Thraupis,palmarum,Small birds,39,8.283986928,2,RES,LC,Stable,NA,NA,NA,NA,Verçoza etal 2012,NA,Animal-oriented
1204,Turdus amaurochalinus,Acnistus arborescens,Mutualistic,Solanaceae,Acnistus,arborescens,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,scrub,7,7.2,NA,NA,yellow,1,NE,Aves,Passeriformes,Turdidae,Turdus,amaurochalinus,Small birds,57.9,12.09548387,2,MIG,LC,Stable,NA,NA,NA,NA,Verçoza etal 2012,NA,Animal-oriented
1205,Turdus flavipes,Acnistus arborescens,Mutualistic,Solanaceae,Acnistus,arborescens,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,scrub,7,7.2,NA,NA,yellow,1,NE,Aves,Passeriformes,Turdidae,Turdus,flavipes,Small birds,65.33333333,12.24711539,3,MIG,LC,Stable,NA,NA,NA,NA,Verçoza etal 2012,NA,Animal-oriented
1206,Turdus leucomelas,Acnistus arborescens,Mutualistic,Solanaceae,Acnistus,arborescens,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,scrub,7,7.2,NA,NA,yellow,1,NE,Aves,Passeriformes,Turdidae,Turdus,leucomelas,Small birds,69.1,12.54757794,2,RES,LC,Stable,NA,NA,NA,NA,Verçoza etal 2012,NA,Animal-oriented
1207,Turdus rufiventris,Acnistus arborescens,Mutualistic,Solanaceae,Acnistus,arborescens,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,scrub,7,7.2,NA,NA,yellow,1,NE,Aves,Passeriformes,Turdidae,Turdus,rufiventris,Small birds,69.5,13.25321429,2,RES,LC,Stable,NA,NA,NA,NA,Verçoza etal 2012,NA,Animal-oriented
1208,Zonotrichia capensis,Acnistus arborescens,Mutualistic,Solanaceae,Acnistus,arborescens,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,scrub,7,7.2,NA,NA,yellow,1,NE,Aves,Passeriformes,Emberizidae,Zonotrichia,capensis,Small birds,20.75,5.214285714,1,RES,LC,Stable,NA,NA,NA,NA,Verçoza etal 2012,NA,Animal-oriented
4551,Dacnis cayana,Acnistus arborescens,Mutualistic,Solanaceae,Acnistus,arborescens,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,scrub,7,7.2,NA,NA,yellow,1,NE,Aves,Passeriformes,Thraupidae,Dacnis,cayana,Small birds,13,5.252413793,2,RES,LC,Stable,Prados,-21.052854,-44.077013,cidade,wikiaves,http://www.wikiaves.com.br/437891&p=71&t=s&s=11616,Animal-oriented
4993,Turdus amaurochalinus,Acnistus arborescens,Mutualistic,Solanaceae,Acnistus,arborescens,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,scrub,7,7.2,NA,NA,yellow,1,NE,Aves,Passeriformes,Turdidae,Turdus,amaurochalinus,Small birds,57.9,12.09548387,2,MIG,LC,Stable,S®o Jo®o Del Rei,-21.13158,-44.253062,cidade,wikiaves,http://www.wikiaves.com.br/1484021&p=45&t=s&s=11530,Animal-oriented
5012,Pitangus sulphuratus,Acnistus arborescens,Mutualistic,Solanaceae,Acnistus,arborescens,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,scrub,7,7.2,NA,NA,yellow,1,NE,Aves,Passeriformes,Tyrannidae,Pitangus,sulphuratus,Small birds,63.33333333,13.892,2,RES,LC,Increasing,Resende,-22.470966,-44.451335,cidade,wikiaves,http://www.wikiaves.com.br/14713&p=11&t=s&s=11327,Animal-oriented
5032,Thraupis episcopus,Acnistus arborescens,Mutualistic,Solanaceae,Acnistus,arborescens,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,scrub,7,7.2,NA,NA,yellow,1,NE,Aves,Passeriformes,Thraupidae,Thraupis,episcopus,Small birds,35,10.1,2,NA,LC,Stable,Prados,-21.052854,-44.077013,cidade,wikiaves,http://www.wikiaves.com.br/660012&p=18&t=s&s=11581,Animal-oriented
5046,Thraupis palmarum,Acnistus arborescens,Mutualistic,Solanaceae,Acnistus,arborescens,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,scrub,7,7.2,NA,NA,yellow,1,NE,Aves,Passeriformes,Thraupidae,Thraupis,palmarum,Small birds,39,8.283986928,2,RES,LC,Stable,TapiraÁ,-23.963247,-47.507167,cidade,wikiaves,http://www.wikiaves.com.br/99507&p=14&t=s&s=11584,Animal-oriented
5323,Turdus amaurochalinus,Acnistus arborescens,Mutualistic,Solanaceae,Acnistus,arborescens,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,scrub,7,7.2,NA,NA,yellow,1,NE,Aves,Passeriformes,Turdidae,Turdus,amaurochalinus,Small birds,57.9,12.09548387,2,MIG,LC,Stable,"Usina Parque do Corumbata?, Rio Claro - SP",-22.4833,-47.5923,preciso,Athiê  S  2009,"Composiç?o da avifauna e frugivoria por aves em um mosaico de vegetaç?o secund?ria em Rio Claro, regi?o centro-leste do estado de S?o Paulo. MSc Dissertation. UFSCar S?o Carlos (2009)",Network study
5324,Ramphocelus carbo,Acnistus arborescens,Mutualistic,Solanaceae,Acnistus,arborescens,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,scrub,7,7.2,NA,NA,yellow,1,NE,Aves,Passeriformes,Thraupidae,Ramphocelus,carbo,Small birds,26,10.16818182,2,RES,LC,Stable,"Usina Parque do Corumbata?, Rio Claro - SP",-22.4833,-47.5923,preciso,Athiê  S  2009,"Composiç?o da avifauna e frugivoria por aves em um mosaico de vegetaç?o secund?ria em Rio Claro, regi?o centro-leste do estado de S?o Paulo. MSc Dissertation. UFSCar S?o Carlos (2009)",Network study
5325,Dacnis cayana,Acnistus arborescens,Mutualistic,Solanaceae,Acnistus,arborescens,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,scrub,7,7.2,NA,NA,yellow,1,NE,Aves,Passeriformes,Thraupidae,Dacnis,cayana,Small birds,13,5.252413793,2,RES,LC,Stable,"Usina Parque do Corumbata?, Rio Claro - SP",-22.4833,-47.5923,preciso,Athiê  S  2009,"Composiç?o da avifauna e frugivoria por aves em um mosaico de vegetaç?o secund?ria em Rio Claro, regi?o centro-leste do estado de S?o Paulo. MSc Dissertation. UFSCar S?o Carlos (2009)",Network study
5326,Tangara cayana,Acnistus arborescens,Mutualistic,Solanaceae,Acnistus,arborescens,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,scrub,7,7.2,NA,NA,yellow,1,NE,Aves,Passeriformes,Thraupidae,Tangara,cayana,Small birds,18,7.41884058,2,RES,LC,Stable,"Usina Parque do Corumbata?, Rio Claro - SP",-22.4833,-47.5923,preciso,Athiê  S  2009,"Composiç?o da avifauna e frugivoria por aves em um mosaico de vegetaç?o secund?ria em Rio Claro, regi?o centro-leste do estado de S?o Paulo. MSc Dissertation. UFSCar S?o Carlos (2009)",Network study
5327,Tachyphonus coronatus,Acnistus arborescens,Mutualistic,Solanaceae,Acnistus,arborescens,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,scrub,7,7.2,NA,NA,yellow,1,NE,Aves,Passeriformes,Thraupidae,Tachyphonus,coronatus,Small birds,29.3,8.417368421,2,RES,LC,Stable,"Usina Parque do Corumbata?, Rio Claro - SP",-22.4833,-47.5923,preciso,Athiê  S  2009,"Composiç?o da avifauna e frugivoria por aves em um mosaico de vegetaç?o secund?ria em Rio Claro, regi?o centro-leste do estado de S?o Paulo. MSc Dissertation. UFSCar S?o Carlos (2009)",Network study
5328,Coereba flaveola,Acnistus arborescens,Mutualistic,Solanaceae,Acnistus,arborescens,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,scrub,7,7.2,NA,NA,yellow,1,NE,Aves,Passeriformes,Coerebidae,Coereba,flaveola,Small birds,10.3375,6.78,1,NA,LC,Stable,"Usina Parque do Corumbata?, Rio Claro - SP",-22.4833,-47.5923,preciso,Athiê  S  2009,"Composiç?o da avifauna e frugivoria por aves em um mosaico de vegetaç?o secund?ria em Rio Claro, regi?o centro-leste do estado de S?o Paulo. MSc Dissertation. UFSCar S?o Carlos (2009)",Network study
5329,Elaenia flavogaster,Acnistus arborescens,Mutualistic,Solanaceae,Acnistus,arborescens,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,scrub,7,7.2,NA,NA,yellow,1,NE,Aves,Passeriformes,Tyrannidae,Elaenia,flavogaster,Small birds,24.8,8.35,2,RES,LC,Stable,"Usina Parque do Corumbata?, Rio Claro - SP",-22.4833,-47.5923,preciso,Athiê  S  2009,"Composiç?o da avifauna e frugivoria por aves em um mosaico de vegetaç?o secund?ria em Rio Claro, regi?o centro-leste do estado de S?o Paulo. MSc Dissertation. UFSCar S?o Carlos (2009)",Network study
