Reference_number,Reference,Publication_year,Type of publication
34,Pedó E Freitas TROd Hartz SM (2010) The influence of fire and livestock grazing on the assemblage of non-flying small mammals in grassland-Araucaria Forest ecotones southern Brazil. Zoologia (Curitiba Impr.) 27: 533-540.,2010,Article
35,Asfora PH Pontes ARM (2009) The small mammals of the highly impacted North-eastern Atlantic Forest of Brazil Pernambuco Endemism Center. Biota Neotrop. 9: 31-35.,2009,Article
36,Pinheiro PS Geise L (2008) Non-volant mammals of Picinguaba Ubatuba state of São Paulo southeastern Brazil. Bol. Mus. Biol. Mello Leitão 23: 51-59.,2008,Article
37,Paise G (2010) Efeitos da fragmentação de habitat sobre a comunidade de pequenos mamíferos de Mata Atlântica no Estado de São Paulo. Universidade Estadual de Campinas.,2010,Thesis
38,Bezerra AC de Moraes DAa (2008) Alimentação de pequenos mamíferos em um fragmento de mata atlântica nordestina (mata do engenho de Coimbra Usina Serra Grande Ibateguara AL) XVI CONIC - Congresso de iniciação científica da UFPE Pernambuco.,2008,Thesis
39,Leiner NO Silva WR (2012) Non-volant small mammals at an Atlantic forest area situated nearby a limestone quarry (Limeira quarry) state of São Paulo Brazil. Biota Neotrop. 12: 1-7.,2012,Article
40,Quintela FM Goncalves BI Trindade GE Santos MBd Tozetti AM Quintela FM Goncalves BI Trindade GE Santos MBd Tozetti AM (2013) Pequenos mamiferos nao-voadores (Didelphimorphia Rodentia) em campos litoraneos do extremo sul do Brasil. Biota Neotropica 13: 284-289.,2013,Article
41,Abreu MSL de Oliveira LR (2014) Patterns of arboreal and terrestrial space use by non-volant small mammals in an Araucaria forest of southern Brazil. Anais Da Academia Brasileira De Ciencias 86: 807-819.,2014,Article
42,Grazzini G (2014) Identidade e Diversidade dos Pequenos Mamíferos não voadores da Floresta Nacional do Piraí do Sul Paraná Brasil. Universidade Federal do Paraná.,2014,Thesis
43,Pereira SN Dias D Lima IP Maas AClS Martins MA Bolzan DP Souza França Db Oliveira MB Peracchi AL Ferreira MFtS (2013) Mamíferos de um Fragmento Florestal em Volta Redonda Estado do Rio de Janeiro = Mammals of a forest fragment in Volta RedondaRio de Janeiro state. Biosci. J. 29: 1017-1027.,2013,Article
44,Moreira JC Manduca EG Goncalves PR Stumpp R Pinto CGC Lessa G (2008) Mammals Volta Grande Environmental Unity Triângulo Mineiro states of Minas Gerais and São Paulo Southeastern Brazil Check List 4: 349-357.,2008,Article
45,Graipel ME Cherem JJ Miller PRM Glock L (2003) Trapping small mammals in the forest understory: a comparison of three methods. Mammalia 67: 551-558.,2003,Article
46,Melo GL Miotto B Peres B Cáceres NC (2013) Microhabitat of small mammals at ground and understorey levels in a deciduous southern Atlantic Forest. Anais da Academia Brasileira de Ciências 85: 727-736.,2013,Article
47,Gentile R Fernandez F (1999) A field comparison of two capture-mark-recapture estimators of small mammal populations. Revista Brasileira De Zoologia 16: 1109 - 1114.,1999,Article
48,Graipel ME Filho MdS (2006) Reprodução e dinâmica populacional de Didelphis aurita Wied-Neuwied (Mammalia : Didelphimorphia ) em ambiente periurbano na Ilha de Santa Catarina  Sul do Brasil. Biotemas 19: 65-73.,2006,Article
49,Silva MA Ronconi A Cordeiro N Bossi DE Bergallo HG Costa MC Balieiro JC Varzim FL (2007) Blood parasites total plasma protein and packed cell volume of small wild mammals trapped in three mountain ranges of the Atlantic Forest in Southeastern Brazil. Braz J Biol 67: 531-535.,2007,Article
50,Maestri R Marinho JR (2014) Singing in the rain. Rainfall and moonlight affect daily activity patterns of rodents in a Neotropical forest. Acta Theriologica 59: 427-433.,2014,Article
51,Silveira F (2012) Estrutura populacional de pequenos mamíferos na Reserva do Cachoeira APA de Guaraqueçaba Paraná.,2012,Thesis
52,Amaral HHdOM Silva AB Gomes V Quinelato IPF Morelli-Amara VF Serra-Freire N Carvalho RW Carvalho AG (2012) Roedores e marsupiais capturados no Parque Estadual da Pedra Branca Rio de Janeiro: distribuição e relação com o ambiente. Uniabeu 5: 158-180.,2012,Article
53,Mochi-Jr CM (2014) Composição taxonômica e avaliação da diversidade da fauna de pequenos mamíferos não-voadores na formação submontana do Parque Nacional Saint-Hilaire/Lage Mata Atlântica Costeira do Paraná. Master Universidade Federal do Paraná.,2014,Thesis
54,Marinho JR (2003) Estudo da comunidade e do fluxo gênico de roedores silvestres em um gradiente altitudinal de Mata Atlântica na área de influência da RST-453/RS-486 - Rota-do-Sol. Universidade Federal do Rio Grande do Sul Porto Alegre.,2003,Thesis
55,Behs D (2013) Influência da heterogeneidade ambiental na composição de comunidades de roedores e marsupiais em áreas de Mata Atlântica no sul de Santa Catarina. Master Universidade do Extremo Sul Catarinense Criciúma.,2013,Thesis
56,Cademartori CV Saraiva M Saraiva C Andrades-Miranda J (2008) Nota sobre a fauna de pequenos roedores em mosaico antropogênico com remanescente florestal do domínio Mata Atlântica sul do Brasil. Biodiversidade Pampeana 6: 34-38.,2008,Article
57,Santos AuB Lóss S Leite YL (2004) Padrões de uso de estratos da floresta por pequenos mamíferos no Parque Estadual da Fonte Grande Vitória Espírito Santo. Natureza on line 2: 27-33.,2004,Article
58,Caldara-Junior V Leite YLR (2007) Uso de habitats por pequenos mamíferos no Parque Estadual da Fonte Grande Vitória Espírito Santo Brasil Bol. Mus. Biol. Mello Leitão 21: 57-77.,2007,Article
59,Oliveira RC Gentile R Guterres A Fernandes J Teixeira BR Vaz V et al. (2014) Ecological study of hantavirus infection in wild rodents in an endemic area in Brazil. Acta Tropica 131: 1-10.,2014,Article
60,Teixeira BR Loureiro N Strecht L Gentile R Oliveira RC Guterres A et al. (2014) Population Ecology of Hantavirus Rodent Hosts in Southern Brazil. American Journal of Tropical Medicine and Hygiene 91: 249-257.,2014,Article
61,Albuquerque HG Martins PF Pessôa FS Modesto TC Luz JL Raíces DSL et al. (2013) Mammals of a forest fragment in Cambuci municipality state of Rio de Janeiro Brazil. Check List 9: 1505-1509.,2013,Article
