ID ,Reference_number,Country,State,Municipality,Study_location,Latitude,Longitude,Precision,Size,Altitude,Annual_rainfall,Vegetation type,Protect_area,Matrix
sm43,23,Brazil,SP,Caucaia do Alto,Reserva Florestal do Morro Grande (floresta contínua) Caucaia do Alto Cotia,-23.68899167,-46.96416944,Precise,9400,1100,1350,Ombrophilous forest,Yes,Agriculture urban or rural areas
sm44,23,Brazil,SP,Caucaia do Alto,Reserva Florestal do Morro Grande (floresta fragmentada) Caucaia do Alto Cotia,-23.73958333,-47.0743,Precise,370,1100,1350,Ombrophilous forest,Yes,Agriculture urban or rural areas
sm45,23,Brazil,SP,Caucaia do Alto,Reserva Florestal do Morro Grande (vegetação nativa em início de regeneração) Caucaia do Alto Cotia,-23.75428611,-47.10739444,Precise,85,1100,1350,Ombrophilous forest,Yes,Agriculture urban or rural areas
sm46,23,Brazil,SP,Caucaia do Alto,Reserva Florestal do Morro Grande (plantação de Eucalipto) Caucaia do Alto Cotia,-23.72159444,-47.06083056,Precise,11,1100,1350,Ombrophilous forest,Yes,Agriculture urban or rural areas
sm47,23,Brazil,SP,Caucaia do Alto,Reserva Florestal do Morro Grande (área de agricultura) Caucaia do Alto Cotia,-23.72611944,-47.05770278,Precise,2,1100,1350,Ombrophilous forest,Yes,Agriculture urban or rural areas
sm48,23,Brazil,SP,Caucaia do Alto,Reserva Florestal do Morro Grande (área rural com construções) Caucaia do Alto Cotia,-23.74346111,-47.10865,Precise,12,1100,1350,Ombrophilous forest,Yes,Agriculture urban or rural areas
sm49,25,Brazil,RJ,Silva Jardim,Ilha dos Barbados (fragmento A) Reserva Biológica Poço das Antas,-22.58727222,-42.24840556,Precise,7,NA,2121,Ombrophilous forest,Yes,Grassland (introduced)
sm50,25,Brazil,RJ,Silva Jardim,Ilha dos Barbados (fragmento B) Reserva Biológica Poço das Antas,-22.58262778,-42.24786667,Precise,1.3,NA,2121,Ombrophilous forest,Yes,Grassland (introduced)
sm51,25,Brazil,RJ,Silva Jardim,Ilha dos Barbados (fragmento C) Reserva Biológica Poço das Antas,-22.57912778,-42.24458889,Precise,10.4,NA,2121,Ombrophilous forest,Yes,Grassland (introduced)
sm52,25,Brazil,RJ,Silva Jardim,Ilha dos Barbados (fragmento D) Reserva Biológica Poço das Antas,-22.58306667,-42.24388611,Precise,8.8,NA,2121,Ombrophilous forest,Yes,Grassland (introduced)
sm53,25,Brazil,RJ,Silva Jardim,Ilha dos Barbados (fragmento E) Reserva Biológica Poço das Antas,-22.58047778,-42.24963056,Precise,11,NA,2121,Ombrophilous forest,Yes,Grassland (introduced)
sm54,25,Brazil,RJ,Silva Jardim,Ilha dos Barbados (fragmento F) Reserva Biológica Poço das Antas,-22.58101111,-42.25525556,Precise,12.3,NA,2121,Ombrophilous forest,Yes,Grassland (introduced)
sm55,25,Brazil,RJ,Silva Jardim,Ilha dos Barbados (fragmento G) Reserva Biológica Poço das Antas,-22.57537778,-42.24781389,Precise,9.4,NA,2121,Ombrophilous forest,Yes,Grassland (introduced)
sm56,25,Brazil,RJ,Silva Jardim,Ilha dos Barbados (fragmento H) Reserva Biológica Poço das Antas,-22.58381944,-42.26030278,Precise,15,NA,2121,Ombrophilous forest,Yes,Grassland (introduced)
sm57,25,Brazil,RJ,Silva Jardim,Ilha dos Barbados (matrix of open vegetation between A and D) Reserva Biológica Poço das Antas,-22.58520556,-42.24592778,Precise,13,NA,2121,Ombrophilous forest,Yes,Grassland (introduced)
sm58,26,Brazil,RJ,Silva Jardim,Ilha dos Barbados Reserva Biológica Poço das Antas,-22.583623,-42.26411,Precise,75.2,NA,2121,Ombrophilous forest,Yes,Grassland (introduced)
