ID ,Reference_number,Country,State,Municipality,Study_location,Latitude,Longitude,Precision,Size,Altitude,Annual_rainfall,Vegetation type,Protect_area,Matrix
sm131,54,Brazil,RS,Tres Forquilhas,Floresta Ombrófila Mista Vale do Rio Três Forquilhas Rota do Sol,-29.32102778,-50.20469444,Precise,600,780,NA,Ombrophilous forest,No,Eucalyptus spp. and Pinus spp. plantations
sm132,55,Brazil,SC,Sideropolis,Barragem do Rio São Bento (Sítio 1) Siderópolis,-28.61677222,-49.61096944,Precise,9316,233,1983,Ombrophilous forest,No,Forest
sm133,55,Brazil,SC,Sideropolis,Barragem do Rio São Bento (Sítio 2) Siderópolis,-28.61151111,-49.59546667,Precise,9316,188,1983,Ombrophilous forest,No,Forest
sm134,55,Brazil,SC,Sideropolis,Barragem do Rio São Bento (Sítio 3) Siderópolis,-28.60629167,-49.59328889,Precise,9316,230,1983,Ombrophilous forest,No,Forest
sm135,55,Brazil,SC,Sideropolis,Barragem do Rio São Bento (Sítio 4) Siderópolis,-28.60467778,-49.59366111,Precise,9316,209,1983,Ombrophilous forest,No,Forest
sm136,56,Brazil,RS,Viamao,Lar Nazaré (plantação de Eucalipto) Lami Viamão,-30.230527,-51.028188,Precise,15,NA,1300,Deciduous forest,No,Agriculture pastures Eucalyptus sp. and Pinus sp. plantations
sm137,56,Brazil,RS,Viamao,Lar Nazaré (mata nativa) Lami Viamão,-30.23333333,-51.03333333,Precise,15,NA,1300,Deciduous forest,No,Agriculture pastures Eucalyptus sp. and Pinus sp. plantations
sm138,57,Brazil,ES,Ilha Vitória,Parque Estadual da Fonte Grande Ilha Vitória,-20.30053056,-40.33475,Precise,218,300,NA,Ombrophilous forest,Yes,Agriculture and pasture
sm138,58,Brazil,ES,Ilha Vitória,Parque Estadual da Fonte Grande Ilha Vitória,-20.30053056,-40.33475,Precise,218,350,NA,Ombrophilous forest,Yes,Agriculture and pasture
sm139,59,Brazil,SC,Jabora,Município de Jaborá,-27.13520278,-51.78351944,Precise,8000,689,1930,Ombrophilous forest,No,Pastureland shrub and cornfields
sm140,60,Brazil,PR,General Carneiro,General Carneiro,-26.43261944,-51.327175,Precise,NA,NA,1785,Ombrophilous forest,No,Agriculture pastures and Pinus sp. Plantations
sm141,61,Brazil,RJ,Cambuci,Fazenda Esmeralda Cambuci,-21.48416667,-41.87272222,Precise,1000,650,1276,Ombrophilous forest,No,Pastures
sm142,62,Brazil,SP,Pilar do Sul,Fazenda João XXIII (floresta contínua) APA da Serra do Tapiraí Pilar do Sul,-23.94875,-47.68488611,Precise,2250,980,1683.2,Ombrophilous forest,Yes,Eucalyptus saligna plantations
sm143,62,Brazil,SP,Pilar do Sul,Fazenda João XXIII (plantio de E. saligna) APA da Serra do Tapiraí Pilar do Sul,-23.93275833,-47.67135,Precise,2250,980,1683.2,Ombrophilous forest,Yes,Eucalyptus saligna plantations
sm144,62,Brazil,SP,Pilar do Sul,Fazenda João XXIII (fragmentos) APA da Serra do Tapiraí Pilar do Sul,-23.93508333,-47.68886111,Precise,2250,980,1683.2,Ombrophilous forest,Yes,Eucalyptus saligna plantations
sm145,63,Brazil,MG,Mata do Vinhático,Parque Estadual do Rio Doce Mata do Vinhático,-19.546778,-42.54654,Precise,36000,515,1480,Semideciduous forest,Yes,herbaceous plants bamboos and graminoids 
sm145,111,Brazil,MG,Mata do Vinhático,Parque Estadual do Rio Doce Mata do Vinhático,-19.546778,-42.54654,Precise,36000,515,1480,Semideciduous forest,Yes,herbaceous plants bamboos and graminoids 
sm146,64,Brazil,RJ,Santa Maria Madalena,Parque Estadual do Desengano,-21.8683,-41.86453889,Precise,22400,1425,NA,Ombrophilous forest,Yes,Forest
sm147,75,Brazil,PR,Morretes,Parque Estadual Pico do Marumbi,-25.47376667,-48.89146667,Precise,2342,480,1924,Ombrophilous forest,Yes,Forest
sm148,65,Brazil,RS,Trindade do Sul,Bacia Hidrográfica do Rio Várzea,-27.43658056,-53.02606944,Precise,16000,600,NA,Deciduous forest,No,Corn and soy plantation and pastures
sm149,66,Brazil,PR,Foz do Iguaçu,Parque Nacional do Iguaçu,-25.06696389,-53.65272778,Precise,185300,NA,1900,Araucaria forest (Mixed ombrophilous),Yes,Road Agriculture and forest
sm150,67,Brazil,BA,Palmeiras,Foz do Córrego Brejão Palmeiras Chapada Diamantina,-12.41666667,-41.41666667,Precise,8000,842,NA,Ombrophilous forest,No,Native vegetation
sm151,67,Brazil,BA,Lencois,Remanso Lençóis Chapada Diamantina,-12.56666667,-41.35,Not-Precise,8000,516,NA,Ombrophilous forest,No,Native vegetation
