id_cod,Order,Family,Species,English _Name,IUCN_Status,Endemic _Atlantic_Forest
807,Passeriformes,Thraupidae,Saltator similis,Green-winged Saltator,LC,
808,Passeriformes,Thraupidae,Saltator maxillosus,Thick-billed Saltator,LC,X
809,Passeriformes,Thraupidae,Saltator fuliginosus,Black-throated Grosbeak,LC,X
810,Passeriformes,Thraupidae,Saltator coerulescens,Grayish Saltator,LC,
811,Passeriformes,Thraupidae,Poospiza nigrorufa,Black-and-rufous Warbling-Finch,LC,
812,Passeriformes,Thraupidae,Poospiza thoracica,Bay-chested Warbling-Finch,LC,X
813,Passeriformes,Thraupidae,Microspingus lateralis,Buff-throated Warbling-Finch,LC,X
814,Passeriformes,Thraupidae,Microspingus cabanisi,Gray-throated Warbling-Finch,LC,X
815,Passeriformes,Thraupidae,Microspingus cinereus,Cinereous Warbling-Finch,VU,
816,Passeriformes,Thraupidae,Thlypopsis sordida,Orange-headed Tanager,LC,
817,Passeriformes,Thraupidae,Donacospiza albifrons,Long-tailed Reed Finch,LC,
818,Passeriformes,Cardinalidae,Piranga flava,Hepatic Tanager,LC,
819,Passeriformes,Cardinalidae,Habia rubica,Red-crowned Ant-Tanager,LC,X
820,Passeriformes,Cardinalidae,Caryothraustes canadensis,Yellow-green Grosbeak,LC,
821,Passeriformes,Cardinalidae,Cyanoloxia glaucocaerulea,Glaucous-blue Grosbeak,LC,
822,Passeriformes,Cardinalidae,Cyanoloxia brissonii,Ultramarine Grosbeak,LC,
823,Passeriformes,Fringillidae,Spinus yarrellii,Yellow-faced Siskin,VU,
824,Passeriformes,Fringillidae,Spinus magellanicus,Hooded Siskin,LC,
825,Passeriformes,Fringillidae,Euphonia chlorotica,Purple-throated Euphonia,LC,
826,Passeriformes,Fringillidae,Euphonia violacea,Violaceous Euphonia,LC,
827,Passeriformes,Fringillidae,Euphonia chalybea,Green-throated Euphonia,NT,X
828,Passeriformes,Fringillidae,Euphonia cyanocephala,Golden-rumped Euphonia,LC,
829,Passeriformes,Fringillidae,Euphonia xanthogaster,Orange-bellied Euphonia,LC,
830,Passeriformes,Fringillidae,Euphonia pectoralis,Chestnut-bellied Euphonia,LC,X
831,Passeriformes,Fringillidae,Chlorophonia cyanea,Blue-naped Chlorophonia,LC,
832,Passeriformes,Estrildidae,Estrilda astrild,Common Waxbill,LC,
833,Passeriformes,Passeridae,Passer domesticus,House Sparrow,LC,
