"species_id","order","family","genus","species","species_name","species_code","iucn_status"
1063.00,"Primates","Callitrichidae","Leontopithecus","chrysomelas","Leontopithecus chrysomelas","Leon_chry","EN"
1064.00,"Primates","Cebidae","Sapajus","nigritus","Sapajus nigritus","Sapa_nigr","NT"
1065.00,"Primates","Cebidae","Sapajus","xanthosternos","Sapajus xanthosternos","Sapa_xant","CR"
1066.00,"Primates","Pitheciidae","Callicebus","melanochir","Callicebus melanochir","Call_mela","VU"
1067.00,"Rodentia","Caviidae","Cavia","sp.","Cavia sp.","Cavi_sp.",
1068.00,"Rodentia","Caviidae","Hydrochoerus","hydrochaeris","Hydrochoerus hydrochaeris","Hydr_hydr","LC"
1069.00,"Rodentia","Cricetidae","Juliomys","pictipes","Juliomys pictipes","Juli_pict","LC"
1070.00,"Rodentia","Cricetidae","Nectomys","squamipes","Nectomys squamipes","Nect_squa","LC"
1071.00,"Rodentia","Cricetidae","Sooretamys","angouya","Sooretamys angouya","Soor_ango","LC"
1072.00,"Rodentia","Cuniculidae","Cuniculus","paca","Cuniculus paca","Cuni_paca","LC"
1073.00,"Rodentia","Dasyproctidae","Dasyprocta","azarae","Dasyprocta azarae","Dasy_azar","DD"
1074.00,"Rodentia","Dasyproctidae","Dasyprocta","leporina","Dasyprocta leporina","Dasy_lepo","LC"
1075.00,"Rodentia","Dasyproctidae","Dasyprocta","sp.","Dasyprocta sp.","Dasy_sp.",
1076.00,"Rodentia","Echimyidae","Trinomys","dimidiatus","Trinomys dimidiatus","Trin_dimi","LC"
1077.00,"Rodentia","Echimyidae","Trinomys","iheringi","Trinomys iheringi","Trin_iher","LC"
1078.00,"Rodentia","Erethizontidae","Chaetomys","subspinosus","Chaetomys subspinosus","Chae_subs","VU"
1079.00,"Rodentia","Erethizontidae","Coendou","prehensilis","Coendou prehensilis","Coen_preh","LC"
1080.00,"Rodentia","Erethizontidae","Sphiggurus","insidiosus","Sphiggurus insidiosus","Sphi_insi","LC"
1081.00,"Rodentia","Erethizontidae","Sphiggurus","villosus","Sphiggurus villosus","Sphi_vill","LC"
1082.00,"Rodentia","Myocastoridae","Myocastor","coypus","Myocastor coypus","Myoc_coyp","LC"
1083.00,"Rodentia","Sciuridae","Sciurus","aestuans","Sciurus aestuans","Sciu_aest","LC"
