,ID_codref,Bib_Ref,Country,State,Municipality,Site,Latitude_y,Longitude_x,Category_coord,Year_start,Year_finish,Habitat,Method,Number_nets,Net_size,RN_total_effort,Number_point_counts,Point_count_temporal_replicates,PE_total_effort,Olsoneconame,OlsonG200r,Ribeirovegtype,BSRs,Altitude,Annual_rainfall,Annual_temperature
2943,136,NA,Brazil,SP,CAMPOS DO JORDAO,Parque Estadual de Campos do Jord„o,-22.633333,-45.433333,MOS,1976,1979,Not informed,LO,,NA,NA,NA,NA,NA,Campos Rupestres montane savanna,Atlantic Forests,Floresta Ombrofila Densa,Florestas de Interior,1611,321,17.3
2944,137,NA,Brazil,SP,SALESOPOLIS,EstaÁ„o BiolÛgica de BoracÈia,-23.65,-45.9,PTCENTRAL,1977,1977,Not informed,LO,,NA,NA,NA,NA,NA,Serra do Mar coastal forests,Atlantic Forests,Floresta Ombrofila Densa,Serra do Mar,908,306,19.7
2945,138,NA,Brazil,SP,BARRA DO TURVO,Parque Estadual Jacupiranga,-24.966666,-48.383333,PTCENTRAL,1979,1979,Not informed,LO,,NA,NA,NA,NA,NA,Araucaria moist forests,Atlantic Forests,Areas de Tensao Ecologica,Serra do Mar,646,241,22.4
2946,139,NA,Brazil,SP,SAO MIGUEL ARCANJO,Parque Estadual Carlos Botelho,-24.066666,-47.966666,PTCENTRAL,1979,1979,Not informed,LO,,NA,NA,NA,NA,NA,Alto Parana Atlantic forests,Atlantic Forests,Areas de Tensao Ecologica,Florestas de Interior,784,202,20.9
2947,140,NA,Brazil,SP,SETE BARRAS,Parque Estadual Intervales,-24.2,-47.9,PTCENTRAL,1979,1979,Not informed,LO,,NA,NA,NA,NA,NA,Serra do Mar coastal forests,Atlantic Forests,Floresta Ombrofila Densa,Serra do Mar,369,260,25.9
2948,141,NA,Brazil,SP,UBATUBA,EstaÁ„o Experimental de Ubatuba,-23.416666,-45.116666,PTCENTRAL,1977,1977,Not informed,LO,,NA,NA,NA,NA,NA,Serra do Mar coastal forests,Atlantic Forests,Floresta Ombrofila Densa,Serra do Mar,149,346,25.6
2949,347,NA,Brazil,ES,SANTA TERESA,Reserva BiolÛgica Augusto Ruschi,-19.916666,-40.566666,PTCENTRAL,1995,1996,Not informed,INV,,NA,NA,NA,NA,NA,Bahia coastal forests,Atlantic Forests,Floresta Ombrofila Densa,Bahia,695,186,22.7
2950,348,NA,Brazil,ES,SANTA TERESA,Reserva Santa L˙cia,-19.966666,-40.533333,PTCENTRAL,1995,1996,Not informed,INV,,NA,NA,NA,NA,NA,Bahia coastal forests,Atlantic Forests,Floresta Ombrofila Densa,Bahia,641,184,22.7
2951,349,NA,Brazil,ES,SANTA TERESA,SÌtio Rinc„o do Serafim,-19.95,-40.666666,PTCENTRAL,1995,1996,Not informed,INV,,NA,NA,NA,NA,NA,Bahia coastal forests,Atlantic Forests,Floresta Ombrofila Densa,Bahia,918,190,22.7
2952,350,NA,Brazil,ES,SANTA TERESA,Museu de Biologia Professor Mello Leit„o,-19.936361,-40.599651,PTCENTRAL,1995,1996,Not informed,INV,,NA,NA,NA,NA,NA,Bahia coastal forests,Atlantic Forests,Floresta Ombrofila Densa,Bahia,770,182,23.7
2953,351,NA,Brazil,ES,SANTA LEOPOLDINA,Mata de Luiz Grande,-20,-40.5,PTCENTRAL,1995,1996,Not informed,INV,,NA,NA,NA,NA,NA,Bahia coastal forests,Atlantic Forests,Floresta Ombrofila Densa,Bahia,652,166,24.9
2954,352,NA,Brazil,ES,SANTA LEOPOLDINA,Rio TimbuÌ,-19.983333,-40.5,PTCENTRAL,1995,1996,Not informed,INV,,NA,NA,NA,NA,NA,Bahia coastal forests,Atlantic Forests,Floresta Ombrofila Densa,Bahia,638,172,24.2
2955,353,NA,Brazil,ES,SANTA TERESA,Fazenda Vale do Cana„,-19.916666,-40.616666,MOS,1995,1996,Not informed,INV,,NA,NA,NA,NA,NA,Bahia coastal forests,Atlantic Forests,Floresta Ombrofila Densa,Bahia,718,190,22.5
