"ID","Country","State","Municipality","Study_location","Latitude","Longitude","Precision","Reserve_Area","Altitude","Altitude1km","Annual_mean_temperature","Annual_rainfall","Olsong200r","Olsoneconame","ribeirovegtype","BSRs","uc","protectedtype"
"bat1017","Brazil","BAHIA","SALVADOR","Mata do Cascao","-12.96222900000","-38.45438900000","Not-Precise",200,NA,62,"24.9",1753,"Atlantic Forests","Bahia coastal forests","Dense Ombrophilous Forest","Bahia","Y",NA
"bat1018","Brazil","MINAS GERAIS","SANTA BARBARA","Serra do Caraca","-20.06519766000","-43.48601593000","Not-Precise",12403,"929",929,"19.5",1449,"Atlantic Forests","Bahia interior forests","Semideciduous Forest","Interior Forests","Y",NA
"bat1019","Brazil","BAHIA","ILHEUS","Una 1","-15.00684321000","-39.14066915000","Precise",15000,"55",122,"24",1531,"Atlantic Forests","Bahia coastal forests","Dense Ombrophilous Forest","Bahia",NA,"Indigenous land"
"bat1020","Brazil","BAHIA","ILHEUS","Una 2","-15.01621918000","-39.13484356000","Precise",NA,NA,142,"23.8",1530,"Atlantic Forests","Bahia coastal forests","Dense Ombrophilous Forest","Bahia",NA,"Indigenous land"
"bat1021","Brazil","BAHIA","ILHEUS","Una 3","-14.99654532000","-39.13655399000","Precise",NA,NA,116,"24",1551,"Atlantic Forests","Bahia coastal forests","Dense Ombrophilous Forest","Bahia",NA,"Indigenous land"
"bat1022","Brazil","BAHIA","ILHEUS","Una 4","-14.99839800000","-39.13814807000","Precise",NA,NA,116,"24",1551,"Atlantic Forests","Bahia coastal forests","Dense Ombrophilous Forest","Bahia",NA,"Indigenous land"
"bat1023","Brazil","BAHIA","ILHEUS","Una 5","-14.99303894000","-39.12165142000","Precise",NA,NA,108,"24",1583,"Atlantic Forests","Bahia coastal forests","Dense Ombrophilous Forest","Bahia",NA,"Indigenous land"
"bat1024","Brazil","BAHIA","ILHEUS","Una 6","-14.99238368000","-39.12358600000","Precise",NA,NA,117,"24",1565,"Atlantic Forests","Bahia coastal forests","Dense Ombrophilous Forest","Bahia",NA,"Indigenous land"
"bat1025","Brazil","BAHIA","ILHEUS","Una 7","-14.96949817000","-39.09645198000","Precise",NA,NA,101,"24.1",1646,"Atlantic Forests","Bahia coastal forests","Dense Ombrophilous Forest","Bahia",NA,"Indigenous land"
"bat1026","Brazil","BAHIA","ILHEUS","Una 8","-14.97107800000","-39.09930412000","Precise",NA,NA,107,"24.1",1626,"Atlantic Forests","Bahia coastal forests","Dense Ombrophilous Forest","Bahia",NA,"Indigenous land"
"bat1027","Brazil","BAHIA","ILHEUS","Una 9","-14.98634266000","-39.12724062000","Precise",NA,NA,126,"23.9",1566,"Atlantic Forests","Bahia coastal forests","Dense Ombrophilous Forest","Bahia",NA,"Indigenous land"
"bat1028","Brazil","BAHIA","ILHEUS","Una 10","-14.96171962000","-39.10814594000","Precise",NA,NA,120,"24",1613,"Atlantic Forests","Bahia coastal forests","Dense Ombrophilous Forest","Bahia",NA,"Indigenous land"
"bat1029","Brazil","BAHIA","UNA","Una 11","-15.13805267000","-39.14126424000","Precise",NA,NA,109,"24",1485,"Atlantic Forests","Bahia coastal forests","Dense Ombrophilous Forest","Bahia",NA,"Biological Reserve"
"bat1030","Brazil","BAHIA","UNA","Una 12","-15.13906029000","-39.14471109000","Precise",NA,NA,109,"24",1485,"Atlantic Forests","Bahia coastal forests","Dense Ombrophilous Forest","Bahia",NA,"Biological Reserve"
"bat1031","Brazil","BAHIA","UNA","Una 13","-15.14257913000","-39.13988103000","Precise",NA,NA,104,"24",1487,"Atlantic Forests","Bahia coastal forests","Dense Ombrophilous Forest","Bahia",NA,"Biological Reserve"
"bat1032","Brazil","BAHIA","UNA","Una 14","-15.14566320000","-39.14719301000","Precise",NA,NA,104,"24",1487,"Atlantic Forests","Bahia coastal forests","Dense Ombrophilous Forest","Bahia",NA,"Biological Reserve"
"bat1033","Brazil","BAHIA","UNA","Una 15","-15.11365171000","-39.13733821000","Precise",NA,NA,81,"24.1",1521,"Atlantic Forests","Bahia coastal forests","Dense Ombrophilous Forest","Bahia",NA,"Biological Reserve"
"bat1034","Brazil","BAHIA","UNA","Una 16","-15.11490554000","-39.13895959000","Precise",NA,NA,81,"24.1",1521,"Atlantic Forests","Bahia coastal forests","Dense Ombrophilous Forest","Bahia",NA,"Biological Reserve"
"bat1035","Brazil","BAHIA","UNA","Una 17","-15.13273337000","-39.18118194000","Precise",NA,NA,146,"23.7",1417,"Atlantic Forests","Bahia coastal forests","Dense Ombrophilous Forest","Bahia",NA,"Biological Reserve"
"bat1036","Brazil","BAHIA","UNA","Una 18","-15.13999139000","-39.17704218000","Precise",NA,NA,139,"23.8",1429,"Atlantic Forests","Bahia coastal forests","Dense Ombrophilous Forest","Bahia",NA,"Biological Reserve"
"bat1037","Brazil","BAHIA","UNA","Una 19","-15.13129059000","-39.16881234000","Precise",NA,NA,138,"23.8",1443,"Atlantic Forests","Bahia coastal forests","Dense Ombrophilous Forest","Bahia",NA,"Biological Reserve"
"bat1038","Brazil","BAHIA","UNA","Una 20","-15.14940610000","-39.15895861000","Precise",NA,NA,124,"23.8",1449,"Atlantic Forests","Bahia coastal forests","Dense Ombrophilous Forest","Bahia",NA,"Biological Reserve"
"bat1039","Brazil","BAHIA","UNA","Una 21","-15.18399197000","-39.06727633000","Precise",NA,NA,66,"24.2",1603,"Atlantic Forests","Bahia coastal forests",NA,"Bahia",NA,"Biological Reserve"
"bat1040","Brazil","BAHIA","UNA","Una 22","-15.15792777000","-39.06400296000","Precise",NA,NA,65,"24.2",1621,"Atlantic Forests","Bahia coastal forests",NA,"Bahia",NA,"Wildlife refuge"
"bat1041","Brazil","BAHIA","UNA","Una 23","-15.16476232000","-39.05716609000","Precise",NA,NA,65,"24.2",1621,"Atlantic Forests","Bahia coastal forests",NA,"Bahia",NA,"Wildlife refuge"
"bat1042","Brazil","BAHIA","UNA","Una 24","-15.17231778000","-39.04151419000","Precise",NA,NA,60,"24.2",1646,"Atlantic Forests","Bahia coastal forests",NA,"Bahia",NA,"Wildlife refuge"
"bat1043","Brazil","BAHIA","UNA","Una 25","-15.15063401000","-39.07498893000","Precise",NA,NA,47,"24.3",1610,"Atlantic Forests","Bahia coastal forests","Dense Ombrophilous Forest","Bahia",NA,"Wildlife refuge"
"bat1044","Brazil","BAHIA","UNA","Una 26","-15.15357229000","-39.07131810000","Precise",NA,NA,56,"24.2",1615,"Atlantic Forests","Bahia coastal forests",NA,"Bahia",NA,"Wildlife refuge"
"bat1045","Brazil","BAHIA","UNA","Una 27","-15.17888157000","-39.03492316000","Precise",NA,NA,33,"24.4",1670,"Atlantic Forests","Bahia coastal forests",NA,"Bahia",NA,"Wildlife refuge"
"bat1046","Brazil","BAHIA","UNA","Una 28","-15.17434284000","-39.03183834000","Precise",NA,NA,33,"24.4",1670,"Atlantic Forests","Bahia coastal forests",NA,"Bahia",NA,"Wildlife refuge"
"bat1047","Brazil","BAHIA","UNA","Una 29","-15.17302372000","-39.06328151000","Precise",NA,NA,38,"24.3",1635,"Atlantic Forests","Bahia coastal forests",NA,"Bahia",NA,"Biological Reserve"
"bat1048","Brazil","BAHIA","UNA","Una 30","-15.17706462000","-39.03904590000","Precise",NA,NA,33,"24.4",1670,"Atlantic Forests","Bahia coastal forests",NA,"Bahia",NA,"Wildlife refuge"
"bat1049","Brazil","PARANA","LONDRINA","Arthur Thomas Park","-23.38168378000","-51.18967251000","Not-Precise",85.47,"533",529,"21.1",1473,"Atlantic Forests","Alto Parana Atlantic forests","Semideciduous Forest","Interior Forests","Y","Park"
"bat1050","Brazil","PARANA","RANCHO ALEGRE","Rancho Alegre","-23.00194615000","-50.94420538000","Not-Precise",7,"370",370,"21.9",1271,"Atlantic Forests","Alto Parana Atlantic forests","Semideciduous Forest","Interior Forests",NA,NA
"bat1051","Brazil","RIO DE JANEIRO","MANGARATIBA","Ilha da Marambaia","-23.05914509000","-43.98055869000","Not-Precise",31,"45",45,"23.3",1424,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar","Y",NA
"bat1052","Brazil","PARANA","GUARAPUAVA","Guarapuava","-25.35444444000","-51.48277778000","Not-Precise",41,"1100",1031,"17.1",1694,"Atlantic Forests","Araucaria moist forests","Savana","Florestas de Araucaria","Y",NA
"bat1053","Brazil","MINAS GERAIS","CARATINGA","Estacao Biologica de Caratinga","-19.73626113000","-41.81756732000","Not-Precise",956,"478",478,"22.4",1195,"Atlantic Forests","Bahia interior forests","Semideciduous Forest","Interior Forests","Y","Biological Reserve"
"bat1054","Brazil","PARANA","GUARAQUECABA","Salto Morato","-25.18509152000","-48.29749023000","Not-Precise",21,"29",29,"22.2",2183,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar",NA,NA
"bat1055","Brazil","SAO PAULO","PIRASSUNUNGA","Fazenda Agua Branca","-22.05033143000","-47.44151671000","Precise",20,NA,629,"20.5",1247,"Atlantic Forests","Alto Parana Atlantic forests","Semideciduous Forest","Interior Forests","N",NA
"bat1056","Brazil","SAO PAULO","BATATAIS","Batatais","-20.73535918000","-47.51944025000","Precise",116,NA,669,"21.6",1507,"Cerrado Woodlands and Savannas","Cerrado",NA,"Interior Forests","N",NA
"bat1057","Brazil","SAO PAULO","LUIS ANTONIO","Borda Leste Estacao Ecologica do Jatai","-21.55564617000","-47.72969585000","Precise",600,NA,664,"21",1429,"Cerrado Woodlands and Savannas","Cerrado","Savana","Interior Forests","Y","Ecological Station"
"bat1058","Brazil","SAO PAULO","ITIRAPINA","Cerrado do Botelho","-22.17089932000","-47.86367361000","Precise",60,NA,754,"19.7",1378,"Cerrado Woodlands and Savannas","Cerrado","Savana","Interior Forests","Y",NA
"bat1059","Brazil","SAO PAULO","LUIS ANTONIO","Fragmento cabeca de cachorro Estacao Ecologica do Jatai","-21.52652292000","-47.83276325000","Precise",648,NA,583,"21.4",1399,"Cerrado Woodlands and Savannas","Cerrado","Savana","Interior Forests","Y","Ecological Station"
"bat1060","Brazil","SAO PAULO","CAJURU","Fazenda em Cajuru","-21.27941729000","-47.34048143000","Precise",203,NA,765,"20.5",1470,"Atlantic Forests","Alto Parana Atlantic forests","Semideciduous Forest","Interior Forests","N",NA
"bat1061","Brazil","SAO PAULO","ANALANDIA","Fazenda Cuscuzeiro","-22.14771356000","-47.64741523000","Precise",11,NA,724,"19.9",1319,"Cerrado Woodlands and Savannas","Cerrado","Savana","Interior Forests","N",NA
"bat1062","Brazil","SAO PAULO","SANTA RITA DO PASSA QUATRO","Pe de Gigante","-21.64308912000","-47.61384730000","Precise",630,NA,705,"20.8",1435,"Cerrado Woodlands and Savannas","Cerrado","Savana","Interior Forests","Y","Area of relevant ecological interest"
"bat1063","Brazil","SAO PAULO","CORUMBATAI","Karl Arens","-22.24207107000","-47.69120129000","Precise",38,NA,861,"19.2",1373,"Cerrado Woodlands and Savannas","Cerrado","Savana","Interior Forests","Y",NA
"bat1064","Brazil","SAO PAULO","BROTAS","Fazenda Losano","-22.30362961000","-48.11417609000","Precise",48,NA,642,"20.3",1337,"Cerrado Woodlands and Savannas","Cerrado","Savana","Interior Forests","N",NA
"bat1065","Brazil","SAO PAULO","LUIS ANTONIO","Rio Mogi Estacao Ecologica do Jatai","-21.60909899000","-47.80057311000","Precise",700,NA,534,"21.7",1376,"Cerrado Woodlands and Savannas","Cerrado","Savana","Interior Forests","Y","Ecological Station"
"bat1066","Brazil","SAO PAULO","PORTO FERREIRA","Parque Estadual de Porto Ferreira","-21.84274815000","-47.41418391000","Precise",173,NA,576,"21.1",1276,"Atlantic Forests","Alto Parana Atlantic forests","Semideciduous Forest","Interior Forests","Y","Park"
"bat1067","Brazil","SAO PAULO","BROTAS","Pousada Sabia Brotas","-22.26698888000","-48.12505287000","Precise",44,NA,661,"20.2",1337,"Cerrado Woodlands and Savannas","Cerrado","Savana","Interior Forests","N",NA
"bat1068","Brazil","SAO PAULO","BROTAS","Fazenda Tapeirao Brotas","-22.25912489000","-48.21271140000","Precise",121,NA,535,"20.9",1306,"Cerrado Woodlands and Savannas","Cerrado",NA,"Interior Forests","N",NA
"bat1069","Brazil","SAO PAULO","SAO CARLOS","UFSCar Universidade Federal de Sao Carlos","-21.95798247000","-47.87320300000","Precise",153,NA,907,"19.2",1447,"Cerrado Woodlands and Savannas","Cerrado","Savana","Interior Forests",NA,NA
"bat1070","Brazil","PERNAMBUCO","RIO FORMOSO","Centro de Endemismo Pernambuco","-8.65590668500","-35.16801564000","Not-Precise",26,"41",41,"24.2",2038,"Atlantic Forests","Pernambuco coastal forests","Dense Ombrophilous Forest","Pernambuco","Y",NA
"bat1071","Brazil","MINAS GERAIS","RIO PRETO","Serra Negra","-21.99000000000","-43.85000000000","Not-Precise",1,"1110",1110,"17.9",1576,"Atlantic Forests","Bahia interior forests","Semideciduous Forest","Interior Forests","Y",NA
"bat1072","Brazil","MINAS GERAIS","LIMA DUARTE","Ibitipoca","-21.71337558000","-43.90445435000","Not-Precise",14,"1318",1318,"17.1",1641,"Atlantic Forests","Bahia interior forests","Semideciduous Forest","Interior Forests","Y",NA
"bat1073","Brazil","RIO DE JANEIRO","NOVA IGUACU","Serra Dos Orgaos","-22.81932512000","-43.52162588000","Not-Precise",10653,"534",635,"19.8",1629,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar","Y",NA
"bat1074","Brazil","ESPIRITO SANTO","VITORIA","Paulo Cesar Vinha State Park","-20.27240394000","-40.30269883000","Not-Precise",15,"0",NA,NA,NA,NA,"Southern Atlantic mangroves",NA,"Bahia","Y","Park"
"bat1075","Brazil","PARANA","PORTO RICO","Porto Rico","-22.76803832000","-53.25769066000","Not-Precise",5,"244",289,"22.6",1280,"Atlantic Forests","Alto Parana Atlantic forests","Semideciduous Forest","Interior Forests",NA,NA
